x,y,headinng,sonar_ang,read,expected
25.0,108.0,225.0,90.0,25.0,35.8838005065918
25.0,108.0,225.0,88.0,24.0,34.62908172607422
25.0,108.0,225.0,86.0,24.0,33.497867584228516
25.0,108.0,225.0,84.0,24.0,32.47691345214844
25.0,108.0,225.0,82.0,24.0,31.553401947021484
25.0,108.0,225.0,80.0,24.0,30.7174129486084
25.0,108.0,225.0,78.0,23.0,29.960216522216797
25.0,108.0,225.0,76.0,23.0,29.274471282958984
25.0,108.0,225.0,74.0,23.0,28.653335571289062
25.0,108.0,225.0,72.0,23.0,28.091495513916016
25.0,108.0,225.0,70.0,23.0,27.584016799926758
25.0,108.0,225.0,68.0,23.0,27.127622604370117
25.0,108.0,225.0,66.0,22.0,26.71751594543457
25.0,108.0,225.0,64.0,22.0,26.351423263549805
25.0,108.0,225.0,62.0,22.0,26.026405334472656
25.0,108.0,225.0,60.0,22.0,25.740589141845703
25.0,108.0,225.0,58.0,21.0,25.491561889648438
25.0,108.0,225.0,56.0,21.0,25.277782440185547
25.0,108.0,225.0,54.0,21.0,25.0979061126709
25.0,108.0,225.0,52.0,20.0,24.950695037841797
25.0,108.0,225.0,50.0,20.0,24.83540916442871
25.0,108.0,225.0,48.0,20.0,24.75102996826172
25.0,108.0,225.0,46.0,20.0,24.697336196899414
25.0,108.0,225.0,44.0,19.0,24.6738338470459
25.0,108.0,225.0,42.0,19.0,24.68040657043457
25.0,108.0,225.0,40.0,19.0,24.71712303161621
25.0,108.0,225.0,38.0,19.0,24.78418731689453
25.0,108.0,225.0,36.0,19.0,24.88201904296875
25.0,108.0,225.0,34.0,20.0,25.01119613647461
25.0,108.0,225.0,32.0,19.0,25.17254638671875
25.0,108.0,225.0,30.0,20.0,25.367107391357422
25.0,108.0,225.0,28.0,20.0,25.59609603881836
25.0,108.0,225.0,26.0,21.0,25.861103057861328
25.0,108.0,225.0,24.0,21.0,26.163780212402344
25.0,108.0,225.0,22.0,21.0,26.506498336791992
25.0,108.0,225.0,20.0,22.0,26.891559600830078
25.0,108.0,225.0,18.0,22.0,27.321239471435547
25.0,108.0,225.0,16.0,22.0,27.799753189086914
25.0,108.0,225.0,14.0,23.0,28.330421447753906
25.0,108.0,225.0,12.0,23.0,28.917213439941406
25.0,108.0,225.0,10.0,23.0,29.566293716430664
25.0,108.0,225.0,8.0,23.0,30.28295135498047
25.0,108.0,225.0,6.0,23.0,31.07367515563965
25.0,108.0,225.0,4.0,24.0,31.94622039794922
25.0,108.0,225.0,2.0,24.0,32.911109924316406
25.0,108.0,225.0,-0.0,23.0,33.978546142578125
25.0,108.0,225.0,-2.0,23.0,34.183189392089844
25.0,108.0,225.0,-4.0,25.0,33.12532043457031
25.0,108.0,225.0,-6.0,25.0,32.16898727416992
25.0,108.0,225.0,-8.0,24.0,31.30339241027832
25.0,108.0,225.0,-10.0,25.0,30.519365310668945
25.0,108.0,225.0,-12.0,25.0,29.80908203125
25.0,108.0,225.0,-14.0,23.0,29.16583824157715
25.0,108.0,225.0,-16.0,24.0,28.58384895324707
25.0,108.0,225.0,-18.0,24.0,28.058156967163086
25.0,108.0,225.0,-20.0,23.0,27.584447860717773
25.0,108.0,225.0,-22.0,24.0,27.159006118774414
25.0,108.0,225.0,-24.0,23.0,26.77862548828125
25.0,108.0,225.0,-26.0,23.0,26.440515518188477
25.0,108.0,225.0,-28.0,23.0,26.14229393005371
25.0,108.0,225.0,-30.0,23.0,25.88190460205078
25.0,108.0,225.0,-32.0,23.0,25.657602310180664
25.0,108.0,225.0,-34.0,23.0,25.467918395996094
25.0,108.0,225.0,-36.0,22.0,25.311628341674805
25.0,108.0,225.0,-38.0,22.0,25.187746047973633
25.0,108.0,225.0,-40.0,22.0,25.095497131347656
25.0,108.0,225.0,-42.0,22.0,25.03430938720703
25.0,108.0,225.0,-44.0,22.0,25.003808975219727
25.0,108.0,225.0,-46.0,22.0,25.003808975219727
25.0,108.0,225.0,-48.0,22.0,25.03430938720703
25.0,108.0,225.0,-50.0,22.0,25.095497131347656
25.0,108.0,225.0,-52.0,22.0,25.187746047973633
25.0,108.0,225.0,-54.0,22.0,25.311628341674805
25.0,108.0,225.0,-56.0,22.0,25.46791648864746
25.0,108.0,225.0,-58.0,22.0,25.657602310180664
25.0,108.0,225.0,-60.0,22.0,25.88190460205078
25.0,108.0,225.0,-62.0,22.0,26.14229393005371
25.0,108.0,225.0,-64.0,22.0,26.44051742553711
25.0,108.0,225.0,-66.0,22.0,26.77862548828125
25.0,108.0,225.0,-68.0,22.0,27.159008026123047
25.0,108.0,225.0,-70.0,22.0,27.584447860717773
25.0,108.0,225.0,-72.0,22.0,28.058156967163086
25.0,108.0,225.0,-74.0,22.0,28.583852767944336
25.0,108.0,225.0,-76.0,22.0,29.165834426879883
25.0,108.0,225.0,-78.0,22.0,29.80908203125
25.0,108.0,225.0,-80.0,22.0,30.519365310668945
25.0,108.0,225.0,-82.0,23.0,31.30339241027832
25.0,108.0,225.0,-84.0,22.0,32.16898727416992
25.0,108.0,225.0,-86.0,23.0,33.12532424926758
25.0,108.0,225.0,-88.0,23.0,34.18318557739258
25.0,108.0,225.0,-90.0,23.0,35.35533905029297
