x,y,headinng,sonar_ang,read,expected
100.0,68.0,-90.0,90.0,62.0,57.19131851196289
100.0,68.0,-90.0,88.0,62.0,60.55373764038086
100.0,68.0,-90.0,86.0,62.0,64.41962432861328
100.0,68.0,-90.0,84.0,62.0,66.70441436767578
100.0,68.0,-90.0,82.0,62.0,66.70441436767578
100.0,68.0,-90.0,80.0,62.0,66.70441436767578
100.0,68.0,-90.0,78.0,62.0,66.70441436767578
100.0,68.0,-90.0,76.0,62.0,66.70441436767578
100.0,68.0,-90.0,74.0,62.0,66.70441436767578
100.0,68.0,-90.0,72.0,62.0,66.76288604736328
100.0,68.0,-90.0,70.0,62.0,66.90303802490234
100.0,68.0,-90.0,68.0,62.0,67.12576293945312
100.0,68.0,-90.0,66.0,62.0,67.43235778808594
100.0,68.0,-90.0,64.0,63.0,67.82481384277344
100.0,68.0,-90.0,62.0,63.0,68.3055191040039
100.0,68.0,-90.0,60.0,64.0,68.87783813476562
100.0,68.0,-90.0,58.0,64.0,69.54497528076172
100.0,68.0,-90.0,56.0,64.0,70.3116683959961
100.0,68.0,-90.0,54.0,64.0,71.18341064453125
100.0,68.0,-90.0,52.0,64.0,72.16583251953125
100.0,68.0,-90.0,50.0,64.0,73.26624298095703
100.0,68.0,-90.0,48.0,66.0,74.49297332763672
100.0,68.0,-90.0,46.0,66.0,75.85556030273438
100.0,68.0,-90.0,44.0,67.0,77.36486053466797
100.0,68.0,-90.0,42.0,119.0,79.03359985351562
100.0,68.0,-90.0,40.0,118.0,80.87679290771484
100.0,68.0,-90.0,38.0,255.0,82.91117858886719
100.0,68.0,-90.0,36.0,118.0,85.15754699707031
100.0,68.0,-90.0,34.0,118.0,87.63871002197266
100.0,68.0,-90.0,32.0,255.0,90.38141632080078
100.0,68.0,-90.0,30.0,119.0,93.41930389404297
100.0,68.0,-90.0,28.0,118.0,96.7904281616211
100.0,68.0,-90.0,26.0,102.0,100.5416488647461
100.0,68.0,-90.0,24.0,102.0,101.54266357421875
100.0,68.0,-90.0,22.0,100.0,100.98275756835938
100.0,68.0,-90.0,20.0,100.0,100.55082702636719
100.0,68.0,-90.0,18.0,99.0,100.24418640136719
100.0,68.0,-90.0,16.0,100.0,100.06095123291016
100.0,68.0,-90.0,14.0,99.0,100.0
100.0,68.0,-90.0,12.0,99.0,100.0
100.0,68.0,-90.0,10.0,99.0,100.0
100.0,68.0,-90.0,8.0,99.0,100.0
100.0,68.0,-90.0,6.0,99.0,100.0
100.0,68.0,-90.0,4.0,99.0,100.0
100.0,68.0,-90.0,2.0,99.0,100.0
100.0,68.0,-90.0,-0.0,99.0,100.0
100.0,68.0,-90.0,-2.0,99.0,100.0
100.0,68.0,-90.0,-4.0,99.0,100.0
100.0,68.0,-90.0,-6.0,98.0,100.0
100.0,68.0,-90.0,-8.0,99.0,100.0
100.0,68.0,-90.0,-10.0,98.0,100.0
100.0,68.0,-90.0,-12.0,99.0,100.0
100.0,68.0,-90.0,-14.0,99.0,100.0
100.0,68.0,-90.0,-16.0,99.0,100.06095123291016
100.0,68.0,-90.0,-18.0,99.0,100.24418640136719
100.0,68.0,-90.0,-20.0,99.0,100.55082702636719
100.0,68.0,-90.0,-22.0,99.0,100.98275756835938
100.0,68.0,-90.0,-24.0,99.0,101.54266357421875
100.0,68.0,-90.0,-26.0,100.0,102.23406219482422
100.0,68.0,-90.0,-28.0,100.0,101.62440490722656
100.0,68.0,-90.0,-30.0,100.0,97.88983917236328
100.0,68.0,-90.0,-32.0,100.0,94.5311279296875
100.0,68.0,-90.0,-34.0,101.0,91.5030288696289
100.0,68.0,-90.0,-36.0,101.0,88.7677001953125
100.0,68.0,-90.0,-38.0,120.0,86.2932357788086
100.0,68.0,-90.0,-40.0,121.0,84.05261993408203
100.0,68.0,-90.0,-42.0,120.0,82.02281951904297
100.0,68.0,-90.0,-44.0,255.0,80.18413543701172
100.0,68.0,-90.0,-46.0,255.0,78.51963806152344
100.0,68.0,-90.0,-48.0,121.0,77.0147705078125
100.0,68.0,-90.0,-50.0,255.0,75.65693664550781
100.0,68.0,-90.0,-52.0,255.0,74.43526458740234
100.0,68.0,-90.0,-54.0,255.0,73.34036254882812
100.0,68.0,-90.0,-56.0,255.0,72.36408996582031
100.0,68.0,-90.0,-58.0,255.0,71.49943542480469
100.0,68.0,-90.0,-60.0,70.0,70.74036407470703
100.0,68.0,-90.0,-62.0,69.0,70.08172607421875
100.0,68.0,-90.0,-64.0,69.0,69.51915740966797
100.0,68.0,-90.0,-66.0,68.0,69.04901123046875
100.0,68.0,-90.0,-68.0,68.0,68.66827392578125
100.0,68.0,-90.0,-70.0,68.0,68.37456512451172
100.0,68.0,-90.0,-72.0,67.0,68.16604614257812
100.0,68.0,-90.0,-74.0,67.0,68.04145050048828
100.0,68.0,-90.0,-76.0,67.0,68.0
100.0,68.0,-90.0,-78.0,67.0,68.0
100.0,68.0,-90.0,-80.0,66.0,68.0
100.0,68.0,-90.0,-82.0,66.0,68.0
100.0,68.0,-90.0,-84.0,66.0,68.0
100.0,68.0,-90.0,-86.0,66.0,68.0
100.0,68.0,-90.0,-88.0,65.0,68.0
100.0,68.0,-90.0,-90.0,66.0,68.0
