x,y,headinng,sonar_ang,read,expected
20.0,68.0,-90.0,90.0,55.0,64.52335357666016
20.0,68.0,-90.0,88.0,56.0,64.52335357666016
20.0,68.0,-90.0,86.0,55.0,64.52335357666016
20.0,68.0,-90.0,84.0,55.0,58.47609329223633
20.0,68.0,-90.0,82.0,55.0,53.38934326171875
20.0,68.0,-90.0,80.0,56.0,49.1718635559082
20.0,68.0,-90.0,78.0,56.0,45.623443603515625
20.0,68.0,-90.0,76.0,56.0,42.6010856628418
20.0,68.0,-90.0,74.0,56.0,40.000003814697266
20.0,68.0,-90.0,72.0,56.0,37.74159622192383
20.0,68.0,-90.0,70.0,56.0,35.765830993652344
20.0,68.0,-90.0,68.0,56.0,34.02604293823242
20.0,68.0,-90.0,66.0,56.0,32.485382080078125
20.0,68.0,-90.0,64.0,57.0,31.114473342895508
20.0,68.0,-90.0,62.0,57.0,29.889530181884766
20.0,68.0,-90.0,60.0,58.0,28.791128158569336
20.0,68.0,-90.0,58.0,58.0,27.80327033996582
20.0,68.0,-90.0,56.0,58.0,26.91265296936035
20.0,68.0,-90.0,54.0,58.0,26.108144760131836
20.0,68.0,-90.0,52.0,57.0,25.380361557006836
20.0,68.0,-90.0,50.0,58.0,24.72136116027832
20.0,68.0,-90.0,48.0,25.0,24.124359130859375
20.0,68.0,-90.0,46.0,25.0,23.58356475830078
20.0,68.0,-90.0,44.0,25.0,23.094009399414062
20.0,68.0,-90.0,42.0,24.0,22.651399612426758
20.0,68.0,-90.0,40.0,24.0,22.252038955688477
20.0,68.0,-90.0,38.0,23.0,21.892724990844727
20.0,68.0,-90.0,36.0,23.0,21.570693969726562
20.0,68.0,-90.0,34.0,23.0,21.28355598449707
20.0,68.0,-90.0,32.0,23.0,21.02924346923828
20.0,68.0,-90.0,30.0,22.0,20.80599021911621
20.0,68.0,-90.0,28.0,22.0,20.612272262573242
20.0,68.0,-90.0,26.0,22.0,20.44681167602539
20.0,68.0,-90.0,24.0,22.0,20.30853271484375
20.0,68.0,-90.0,22.0,22.0,20.196552276611328
20.0,68.0,-90.0,20.0,22.0,20.110164642333984
20.0,68.0,-90.0,18.0,22.0,20.048837661743164
20.0,68.0,-90.0,16.0,22.0,20.012191772460938
20.0,68.0,-90.0,14.0,21.0,20.0
20.0,68.0,-90.0,12.0,21.0,20.0
20.0,68.0,-90.0,10.0,21.0,20.0
20.0,68.0,-90.0,8.0,21.0,20.0
20.0,68.0,-90.0,6.0,21.0,20.0
20.0,68.0,-90.0,4.0,21.0,20.0
20.0,68.0,-90.0,2.0,21.0,20.0
20.0,68.0,-90.0,-0.0,21.0,20.0
20.0,68.0,-90.0,-2.0,21.0,20.0
20.0,68.0,-90.0,-4.0,21.0,20.0
20.0,68.0,-90.0,-6.0,21.0,20.0
20.0,68.0,-90.0,-8.0,21.0,20.0
20.0,68.0,-90.0,-10.0,21.0,20.0
20.0,68.0,-90.0,-12.0,21.0,20.0
20.0,68.0,-90.0,-14.0,21.0,20.0
20.0,68.0,-90.0,-16.0,21.0,20.012191772460938
20.0,68.0,-90.0,-18.0,21.0,20.048837661743164
20.0,68.0,-90.0,-20.0,21.0,20.110166549682617
20.0,68.0,-90.0,-22.0,21.0,20.196550369262695
20.0,68.0,-90.0,-24.0,22.0,20.30853271484375
20.0,68.0,-90.0,-26.0,22.0,20.44681167602539
20.0,68.0,-90.0,-28.0,22.0,20.612272262573242
20.0,68.0,-90.0,-30.0,22.0,20.805988311767578
20.0,68.0,-90.0,-32.0,22.0,21.029245376586914
20.0,68.0,-90.0,-34.0,22.0,21.28355598449707
20.0,68.0,-90.0,-36.0,22.0,21.570693969726562
20.0,68.0,-90.0,-38.0,22.0,21.89272689819336
20.0,68.0,-90.0,-40.0,23.0,22.252038955688477
20.0,68.0,-90.0,-42.0,23.0,22.65140151977539
20.0,68.0,-90.0,-44.0,24.0,23.094011306762695
20.0,68.0,-90.0,-46.0,24.0,23.583568572998047
20.0,68.0,-90.0,-48.0,24.0,24.124359130859375
20.0,68.0,-90.0,-50.0,24.0,24.721357345581055
20.0,68.0,-90.0,-52.0,24.0,25.3803653717041
20.0,68.0,-90.0,-54.0,27.0,26.10814666748047
20.0,68.0,-90.0,-56.0,72.0,26.91265296936035
20.0,68.0,-90.0,-58.0,72.0,27.803272247314453
20.0,68.0,-90.0,-60.0,72.0,28.79113006591797
20.0,68.0,-90.0,-62.0,71.0,29.889530181884766
20.0,68.0,-90.0,-64.0,71.0,31.114473342895508
20.0,68.0,-90.0,-66.0,70.0,32.48538589477539
20.0,68.0,-90.0,-68.0,70.0,34.02603530883789
20.0,68.0,-90.0,-70.0,70.0,35.76583480834961
20.0,68.0,-90.0,-72.0,70.0,37.741600036621094
20.0,68.0,-90.0,-74.0,70.0,39.999996185302734
20.0,68.0,-90.0,-76.0,70.0,42.6010856628418
20.0,68.0,-90.0,-78.0,70.0,45.62343978881836
20.0,68.0,-90.0,-80.0,70.0,49.17186737060547
20.0,68.0,-90.0,-82.0,69.0,53.38934326171875
20.0,68.0,-90.0,-84.0,69.0,58.47608947753906
20.0,68.0,-90.0,-86.0,69.0,64.72135925292969
20.0,68.0,-90.0,-88.0,69.0,68.0
20.0,68.0,-90.0,-90.0,69.0,68.0
