x,y,headinng,sonar_ang,read,expected
40.0,68.0,-90.0,90.0,57.0,65.068603515625
40.0,68.0,-90.0,88.0,57.0,65.068603515625
40.0,68.0,-90.0,86.0,57.0,65.068603515625
40.0,68.0,-90.0,84.0,57.0,65.068603515625
40.0,68.0,-90.0,82.0,57.0,65.068603515625
40.0,68.0,-90.0,80.0,57.0,65.068603515625
40.0,68.0,-90.0,78.0,57.0,65.068603515625
40.0,68.0,-90.0,76.0,57.0,65.068603515625
40.0,68.0,-90.0,74.0,57.0,65.068603515625
40.0,68.0,-90.0,72.0,57.0,65.12567138671875
40.0,68.0,-90.0,70.0,57.0,65.26237487792969
40.0,68.0,-90.0,68.0,57.0,65.47964477539062
40.0,68.0,-90.0,66.0,58.0,64.97076416015625
40.0,68.0,-90.0,64.0,58.0,62.228946685791016
40.0,68.0,-90.0,62.0,58.0,59.77906036376953
40.0,68.0,-90.0,60.0,58.0,57.58226013183594
40.0,68.0,-90.0,58.0,58.0,55.606544494628906
40.0,68.0,-90.0,56.0,58.0,53.825313568115234
40.0,68.0,-90.0,54.0,60.0,52.21629333496094
40.0,68.0,-90.0,52.0,59.0,50.7607307434082
40.0,68.0,-90.0,50.0,60.0,49.442718505859375
40.0,68.0,-90.0,48.0,61.0,48.24871826171875
40.0,68.0,-90.0,46.0,61.0,47.167137145996094
40.0,68.0,-90.0,44.0,45.0,46.188018798828125
40.0,68.0,-90.0,42.0,44.0,45.302799224853516
40.0,68.0,-90.0,40.0,44.0,44.50407791137695
40.0,68.0,-90.0,38.0,43.0,43.78544998168945
40.0,68.0,-90.0,36.0,43.0,43.141387939453125
40.0,68.0,-90.0,34.0,43.0,42.56711196899414
40.0,68.0,-90.0,32.0,42.0,42.05849075317383
40.0,68.0,-90.0,30.0,42.0,41.61198043823242
40.0,68.0,-90.0,28.0,42.0,41.224544525146484
40.0,68.0,-90.0,26.0,41.0,40.89362335205078
40.0,68.0,-90.0,24.0,41.0,40.6170654296875
40.0,68.0,-90.0,22.0,41.0,40.393104553222656
40.0,68.0,-90.0,20.0,41.0,40.220333099365234
40.0,68.0,-90.0,18.0,41.0,40.09767532348633
40.0,68.0,-90.0,16.0,40.0,40.024383544921875
40.0,68.0,-90.0,14.0,40.0,40.0
40.0,68.0,-90.0,12.0,40.0,40.0
40.0,68.0,-90.0,10.0,40.0,40.0
40.0,68.0,-90.0,8.0,40.0,40.0
40.0,68.0,-90.0,6.0,40.0,40.0
40.0,68.0,-90.0,4.0,40.0,40.0
40.0,68.0,-90.0,2.0,40.0,40.0
40.0,68.0,-90.0,-0.0,40.0,40.0
40.0,68.0,-90.0,-2.0,40.0,40.0
40.0,68.0,-90.0,-4.0,40.0,40.0
40.0,68.0,-90.0,-6.0,40.0,40.0
40.0,68.0,-90.0,-8.0,40.0,40.0
40.0,68.0,-90.0,-10.0,40.0,40.0
40.0,68.0,-90.0,-12.0,40.0,40.0
40.0,68.0,-90.0,-14.0,40.0,40.0
40.0,68.0,-90.0,-16.0,40.0,40.024383544921875
40.0,68.0,-90.0,-18.0,40.0,40.09767532348633
40.0,68.0,-90.0,-20.0,40.0,40.220333099365234
40.0,68.0,-90.0,-22.0,40.0,40.393104553222656
40.0,68.0,-90.0,-24.0,40.0,40.6170654296875
40.0,68.0,-90.0,-26.0,41.0,40.89362335205078
40.0,68.0,-90.0,-28.0,41.0,41.224544525146484
40.0,68.0,-90.0,-30.0,41.0,41.611976623535156
40.0,68.0,-90.0,-32.0,41.0,42.05849075317383
40.0,68.0,-90.0,-34.0,41.0,42.56711196899414
40.0,68.0,-90.0,-36.0,42.0,43.141387939453125
40.0,68.0,-90.0,-38.0,42.0,43.78544998168945
40.0,68.0,-90.0,-40.0,42.0,44.50407791137695
40.0,68.0,-90.0,-42.0,43.0,45.30280303955078
40.0,68.0,-90.0,-44.0,43.0,46.18802261352539
40.0,68.0,-90.0,-46.0,44.0,47.167137145996094
40.0,68.0,-90.0,-48.0,45.0,48.24871826171875
40.0,68.0,-90.0,-50.0,80.0,49.442718505859375
40.0,68.0,-90.0,-52.0,79.0,50.76072692871094
40.0,68.0,-90.0,-54.0,80.0,52.21629333496094
40.0,68.0,-90.0,-56.0,73.0,53.8253059387207
40.0,68.0,-90.0,-58.0,82.0,55.606544494628906
40.0,68.0,-90.0,-60.0,72.0,57.58226013183594
40.0,68.0,-90.0,-62.0,71.0,59.77906036376953
40.0,68.0,-90.0,-64.0,71.0,62.22895050048828
40.0,68.0,-90.0,-66.0,70.0,64.97077178955078
40.0,68.0,-90.0,-68.0,70.0,68.05207061767578
40.0,68.0,-90.0,-70.0,70.0,68.37456512451172
40.0,68.0,-90.0,-72.0,69.0,68.16604614257812
40.0,68.0,-90.0,-74.0,69.0,68.04145050048828
40.0,68.0,-90.0,-76.0,69.0,68.0
40.0,68.0,-90.0,-78.0,69.0,68.0
40.0,68.0,-90.0,-80.0,69.0,68.0
40.0,68.0,-90.0,-82.0,69.0,68.0
40.0,68.0,-90.0,-84.0,69.0,68.0
40.0,68.0,-90.0,-86.0,68.0,68.0
40.0,68.0,-90.0,-88.0,68.0,68.0
40.0,68.0,-90.0,-90.0,68.0,68.0
